,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
30_17231822437181.png,A,B,D,A,B,D,C,D,B,E,B,E,A,B,D,A,A,A,D,B,D,A,E,B,C,C,A,C,A,D,C,D,A,C,B,A,D,B,D,A,A,B,C,D,B,C,D,A,D,B,B,A,A,D,C,C,C,C,B,B,D,A
30_17231817701351.png,D,C,E,C,A,D,C,A,A,E,E,A,C,C,C,E,C,E,D,D,A,A,B,B,E,A,D,E,E,A,C,A,D,B,C,D,D,C,A,D,C,C,A,B,B,B,B,A,C,C,B,B,A,C,A,D,A,C,A,B,D,A
30_17231816491271.png,E,B,E,C,B,E,C,A,A,B,A,B,C,D,A,A,B,#,B,C,E,C,A,D,D,E,B,B,D,B,C,E,C,C,B,D,E,C,B,C,A,E,A,C,B,A,A,B,C,A,C,D,B,A,C,D,A,D,A,C,B,*
30_17231824091261.png,C,A,B,E,D,D,A,D,D,A,D,C,C,A,B,B,E,C,D,A,B,D,B,E,A,A,C,E,C,D,B,C,A,C,A,A,C,D,D,A,D,B,B,A,B,A,C,B,B,C,A,D,B,C,D,E,D,B,B,C,A,A
30_17231867601261.png,D,D,C,A,B,D,D,D,A,A,D,B,C,A,D,C,E,B,D,A,B,D,C,A,B,B,A,E,D,A,B,D,A,C,A,D,A,A,E,C,D,B,B,C,A,A,B,C,B,C,A,D,C,E,B,A,D,B,B,C,C,A
30_17231869501261.png,C,B,E,B,E,D,A,D,D,A,D,B,C,A,D,C,E,A,D,A,B,D,D,E,B,B,A,E,D,D,B,C,A,C,A,A,B,C,A,C,D,B,B,A,A,C,B,C,B,C,A,D,C,C,D,B,A,B,B,C,C,D
30_17231863031351.png,C,B,C,B,A,B,B,B,A,D,E,A,A,C,C,E,C,A,B,B,B,B,C,B,D,B,D,A,B,C,B,A,D,B,C,C,D,D,A,D,C,C,C,B,A,C,C,D,C,C,B,B,A,A,B,B,A,C,A,A,B,D
30_17231906061281.png,C,A,D,E,E,E,A,D,D,A,D,D,C,A,E,E,A,A,B,C,D,A,D,D,C,D,C,*,D,A,C,D,B,C,A,C,D,B,D,A,B,C,B,D,E,B,E,A,E,B,C,B,D,A,E,C,C,D,B,A,E,D
30_17231909551281.png,E,D,E,E,E,D,C,C,D,A,B,D,C,B,D,E,B,A,B,C,D,E,D,B,E,B,C,B,D,A,C,D,D,C,C,A,B,A,B,A,C,B,C,D,B,B,E,A,B,B,A,A,D,A,D,D,A,C,A,A,B,A
30_17231882107161.png,A,C,C,E,D,D,A,D,A,D,C,B,C,E,A,C,C,B,A,D,C,C,B,A,B,B,B,C,D,A,D,B,C,C,B,D,C,A,C,D,C,#,#,A,B,D,B,C,D,B,A,#,#,#,C,A,B,B,C,A,#,#
