,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
24_17231868481101.png,B,C,E,B,E,A,B,A,C,D,D,A,A,B,E,A,B,B,C,A,B,E,E,E,B,D,D,A,B,C,C,B,D,A,D,C,B,A,D,A,E,B,A,D,B,D,B,C,C,D,C,C,B,B,D,C
24_17231864231771.png,E,E,E,B,A,D,E,E,A,D,E,B,A,A,D,E,C,E,B,C,B,B,B,B,D,B,D,B,B,B,B,D,D,C,D,D,D,A,B,A,A,A,C,A,C,B,C,B,E,A,D,D,B,C,D,A
24_17231874911771.png,E,B,B,C,C,D,B,D,C,C,C,B,A,B,E,C,B,C,B,C,B,A,C,B,D,B,D,B,B,A,B,D,D,C,C,C,B,C,C,C,B,A,D,#,B,D,B,B,C,A,D,C,D,D,C,B
24_17232179571771.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
24_17231828941771.png,E,B,B,B,C,E,B,D,A,C,C,B,B,D,C,C,B,E,B,C,B,A,D,B,D,B,D,B,B,A,B,D,D,B,C,C,B,B,C,C,B,A,D,B,C,D,C,E,E,A,D,C,D,D,C,B
24_1723218935511.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
24_17231908661771.png,E,A,A,E,D,E,B,C,A,C,E,B,B,B,A,E,B,A,B,C,B,A,C,B,E,C,D,B,B,A,B,C,E,C,C,A,D,B,D,C,A,A,D,B,C,C,B,C,C,D,D,C,B,A,C,B
24_17231822051101.png,A,D,C,A,E,A,B,B,D,E,A,C,A,A,C,A,D,C,A,C,B,B,B,E,C,C,A,B,#,C,#,#,E,B,#,C,D,A,B,#,#,#,#,#,A,E,D,B,C,D,C,C,A,A,D,C
24_17231866301771.png,B,E,A,E,A,E,B,D,A,C,E,B,B,A,E,C,B,A,D,C,B,B,D,B,D,C,D,B,B,A,E,C,A,D,C,C,B,B,#,C,D,E,C,A,B,C,B,A,C,E,D,B,A,C,D,B
24_17232184431771.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
24_17231864281771.png,B,B,B,E,C,D,B,D,A,C,E,B,B,B,C,C,B,E,B,C,B,B,C,B,E,B,D,B,B,A,B,C,B,B,C,D,B,C,C,C,B,A,D,A,D,A,A,D,D,B,D,C,C,D,C,B
24_17231908521771.png,C,C,C,E,A,E,C,D,A,D,E,C,B,B,D,E,B,A,B,A,B,B,B,B,D,C,D,B,B,A,A,B,A,B,C,C,C,D,C,A,C,A,D,B,C,C,A,B,B,B,D,A,C,A,B,C
24_17231894971101.png,A,E,C,A,D,A,B,B,C,D,A,A,A,A,C,B,D,C,C,C,B,D,D,E,B,B,A,B,B,C,C,D,A,B,D,D,D,D,C,A,D,A,A,D,C,D,B,B,C,D,C,C,A,D,D,C
24_17231887721101.png,A,C,C,A,C,A,B,B,C,D,A,A,B,B,E,E,D,A,B,C,B,B,D,E,D,B,A,B,B,C,C,B,D,B,D,C,D,C,B,B,E,A,A,B,D,A,B,B,A,D,C,C,C,B,D,C
24_17231866341771.png,E,A,A,E,A,E,E,D,A,D,E,B,A,E,E,C,B,E,A,C,B,B,B,B,A,B,D,B,B,A,A,C,B,B,B,C,C,C,C,C,C,A,C,B,C,D,D,C,B,D,D,C,C,B,C,B
24_17231815901771.png,C,C,C,E,E,D,A,D,A,C,C,B,B,D,B,E,B,C,B,C,A,B,D,B,D,C,D,B,B,A,B,D,D,B,C,C,B,C,C,C,C,A,D,B,B,D,C,B,D,A,D,C,D,D,C,B
24_17231802271771.png,E,B,E,E,A,E,B,D,A,C,C,B,A,B,C,E,B,C,D,C,B,B,C,B,E,D,D,B,B,A,B,C,C,D,C,C,C,D,B,C,C,A,D,B,B,B,B,B,B,B,D,C,A,A,B,A
24_17231864421771.png,B,C,A,E,C,C,B,E,A,C,E,B,B,A,C,B,A,D,E,D,B,A,C,B,D,D,B,B,B,A,B,A,D,B,C,C,B,C,A,C,A,A,D,B,C,D,B,C,C,A,D,C,B,C,D,B
24_17231864391771.png,E,C,D,E,C,E,B,D,A,C,A,B,E,B,E,A,B,B,A,C,B,B,E,B,D,C,D,B,B,A,B,A,B,D,C,C,A,B,A,C,A,A,D,B,B,D,C,A,C,B,D,C,B,D,B,D
24_17231908681771.png,E,B,C,D,C,E,B,D,A,C,E,B,B,B,E,E,B,E,A,C,B,B,C,B,E,A,D,B,B,A,B,A,D,B,C,C,B,B,B,A,A,A,D,A,C,D,B,C,D,B,D,C,D,C,B,B
24_17231822121101.png,A,A,C,A,D,A,C,B,C,B,A,C,B,B,C,A,D,A,C,C,*,B,C,E,D,D,A,B,B,C,A,B,C,B,D,C,D,D,C,B,D,A,A,B,D,D,B,B,A,D,C,C,B,B,C,C
24_17231821901101.png,A,B,C,A,E,A,D,B,C,E,E,C,B,A,D,A,D,A,A,C,E,B,E,E,C,B,A,B,B,C,A,B,C,B,D,C,B,C,C,B,D,C,B,B,A,E,B,B,A,D,C,C,C,C,B,A
24_17231821851101.png,A,B,B,A,E,B,B,B,D,D,C,C,B,B,D,B,E,A,D,C,B,B,D,E,D,C,D,B,C,C,C,D,B,B,D,C,C,D,C,A,B,B,A,B,B,B,C,C,A,D,C,A,A,B,D,A
24_17231815881771.png,E,B,E,E,C,E,B,D,D,C,C,B,B,D,D,E,A,E,B,E,B,B,C,B,D,C,D,B,B,A,A,D,D,A,C,C,D,D,C,C,B,A,D,B,C,D,C,B,A,A,D,C,D,D,D,B
24_17231817801101.png,A,B,C,D,D,A,A,B,C,B,E,A,B,E,E,B,D,C,D,D,C,C,D,E,D,C,A,A,B,A,C,D,D,A,C,C,D,B,C,A,D,C,A,D,C,B,C,A,B,A,C,B,A,C,C,D
24_1723218938511.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
24_17231908541771.png,C,D,E,E,D,E,C,D,A,D,*,B,B,B,E,C,C,D,B,E,B,B,D,B,D,B,D,B,B,A,A,D,D,C,C,C,B,B,D,C,B,A,D,A,B,D,C,C,C,B,D,C,D,C,C,B
24_17231874941771.png,E,B,B,E,A,E,B,D,A,C,C,B,B,B,C,E,B,E,B,D,B,B,C,B,D,C,D,B,B,A,A,C,D,B,C,C,B,B,C,C,E,A,D,#,C,B,D,B,E,B,D,C,D,A,D,B
24_17231887181101.png,A,A,D,C,E,E,A,A,C,E,D,E,D,C,E,C,A,C,C,C,B,E,D,E,A,C,A,B,B,B,B,D,D,B,D,C,D,C,C,A,A,B,B,D,A,E,D,A,B,C,C,D,C,B,A,B
24_17231890461771.png,C,C,A,C,D,D,B,D,A,C,B,B,B,D,C,B,D,C,B,C,B,B,A,B,E,B,D,B,B,A,A,D,D,B,C,C,A,D,B,A,A,A,D,A,C,D,C,B,E,A,D,C,B,D,C,A
24_17231887351101.png,A,C,B,A,D,A,B,B,C,D,A,A,A,D,A,E,D,A,C,C,B,B,D,E,C,A,A,B,B,C,A,C,D,A,D,C,A,D,B,A,D,A,A,B,A,D,B,B,A,D,C,C,A,B,C,C
24_17231818051101.png,A,C,D,A,D,A,B,B,C,D,E,A,B,B,E,B,E,A,D,C,B,C,D,E,D,B,D,B,B,C,B,C,C,B,D,C,D,D,C,B,D,C,A,B,A,C,B,D,A,B,C,C,A,D,A,B
24_1723182792511.png,E,E,A,C,E,E,D,D,A,B,B,B,D,C,D,D,D,D,E,C,A,A,E,C,C,C,A,B,B,A,B,B,B,C,C,A,B,C,D,C,A,A,B,D,B,A,A,B,B,C,B,B,C,C,A,A
24_1723182799511.png,E,E,D,D,E,B,D,A,B,D,E,D,C,C,D,E,B,B,B,D,A,A,E,C,C,B,C,C,B,A,D,B,E,A,D,D,D,B,C,C,B,B,D,C,B,D,C,B,E,C,B,B,B,C,B,A
24_1723182825511.png,D,E,E,C,C,B,E,A,A,D,B,D,A,D,C,D,E,D,E,D,D,C,D,A,C,B,C,C,B,A,A,D,D,A,D,D,B,A,D,C,A,B,D,C,A,A,B,C,A,A,B,C,C,D,B,D
24_17231887281101.png,A,C,C,D,E,D,B,B,C,E,A,C,B,A,E,E,D,A,B,C,A,B,E,E,D,D,A,A,B,C,B,B,C,A,*,C,C,D,D,B,A,B,A,D,C,B,B,D,A,D,C,C,C,C,B,C
24_17231887171101.png,A,A,C,A,E,D,B,B,C,D,A,B,B,A,E,E,D,A,A,C,A,B,D,E,C,D,A,B,B,C,A,B,A,A,D,C,B,D,B,B,D,B,B,B,B,E,B,D,A,D,C,C,C,A,B,C
24_17231908501771.png,B,B,D,E,C,E,B,A,A,D,C,B,B,B,D,E,B,A,B,D,B,B,C,B,E,A,D,B,B,B,A,A,D,B,D,C,C,B,C,A,B,A,A,A,C,D,D,D,D,A,D,C,B,*,B,B
24_17231908481771.png,B,A,A,B,C,D,B,E,A,C,E,B,B,A,E,D,D,E,B,D,B,B,E,B,A,B,C,C,B,C,A,D,E,B,C,B,C,D,A,C,B,C,D,B,C,B,A,D,A,B,B,D,B,C,D,A
24_17231874891771.png,E,B,B,C,C,E,B,D,B,C,C,B,A,D,E,E,B,C,B,C,B,A,C,B,D,C,D,B,B,A,D,D,E,B,C,C,B,C,A,C,E,A,D,#,A,B,D,B,C,B,D,C,D,A,C,B
24_17231864211771.png,E,B,B,D,B,E,B,D,D,C,C,B,B,C,E,E,D,E,C,C,B,B,A,B,E,A,D,B,B,C,C,C,B,C,C,C,D,D,C,A,D,A,A,D,C,D,B,A,B,D,B,A,D,A,C,B
24_17231815631771.png,E,B,A,E,C,E,B,B,C,C,C,B,E,D,C,E,D,A,B,C,B,A,D,B,B,C,D,B,B,C,B,D,D,B,C,A,D,B,A,C,B,A,D,B,C,D,B,C,D,B,D,C,B,B,C,B
24_17231818041101.png,A,C,B,C,D,A,B,B,C,D,A,A,B,B,E,D,D,A,C,C,B,B,D,E,E,A,D,A,C,C,A,D,B,B,C,D,B,D,D,A,E,B,A,B,D,A,C,B,D,C,C,C,A,D,A,C
24_17231829081771.png,E,B,B,B,C,E,B,D,A,C,C,B,B,D,C,A,B,E,B,C,B,B,D,B,E,B,D,B,B,A,B,D,D,B,C,C,B,D,C,C,A,A,D,B,B,D,B,C,C,A,D,B,A,B,D,C
24_17231868551101.png,A,E,C,A,E,D,B,C,D,E,E,A,B,D,E,A,D,A,E,B,B,B,D,E,E,B,B,B,B,C,C,D,D,A,D,C,C,C,A,A,D,B,B,C,B,D,C,D,A,D,B,C,A,B,A,C
24_1723182784511.png,E,E,A,E,B,A,B,B,C,D,B,D,D,C,C,D,E,B,E,D,A,C,D,C,E,C,C,B,B,A,D,B,B,C,A,A,B,C,B,B,D,B,D,C,D,B,C,C,C,C,B,C,D,D,A,C
24_17231868671101.png,E,A,B,A,B,D,B,B,A,E,D,A,A,E,E,A,C,A,A,A,B,E,D,E,B,A,D,A,B,D,C,C,A,B,B,C,C,A,C,A,D,B,B,B,A,D,B,B,B,D,D,A,C,D,D,D
24_17231818021101.png,B,D,C,A,E,D,E,B,C,D,A,A,B,A,B,E,D,C,C,C,B,B,D,E,D,B,A,C,B,B,B,B,C,B,D,C,D,D,B,C,D,A,A,B,C,D,B,B,A,D,C,C,C,D,B,C
24_1723218936511.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
24_17231908861771.png,B,B,A,E,B,D,B,D,E,C,E,B,B,B,E,E,B,A,B,C,B,A,D,B,E,A,D,B,B,A,B,C,A,B,D,C,C,B,B,C,E,A,D,B,C,D,D,C,A,A,D,C,D,D,C,A
24_17231802411771.png,B,C,E,E,C,D,B,D,A,C,E,B,E,B,C,E,B,A,B,D,B,B,C,B,D,A,D,B,B,A,B,D,D,B,C,C,B,C,B,C,E,A,D,B,C,D,A,C,C,B,D,C,D,A,D,B
24_17231908561771.png,B,B,A,A,C,E,B,A,E,C,B,B,B,B,C,E,B,C,C,D,B,B,C,A,A,B,D,B,B,B,A,C,A,B,C,A,C,C,B,B,D,C,A,B,D,D,C,B,E,B,D,C,D,A,C,D
24_17231866351771.png,E,B,E,E,A,D,C,D,A,C,E,B,B,D,A,D,B,A,B,C,B,B,C,B,A,D,D,B,B,C,A,D,C,B,C,D,C,C,B,A,A,D,D,B,A,C,B,C,D,B,A,C,B,C,D,B
24_17231874841771.png,E,D,A,D,D,#,B,D,A,C,C,B,A,B,E,C,B,A,B,D,B,A,A,B,E,B,D,B,B,A,B,A,D,B,C,C,B,A,C,C,B,A,D,#,B,D,B,B,C,A,D,C,B,A,C,B
24_17231887401101.png,A,C,B,D,E,D,B,B,C,D,A,A,B,D,E,A,D,A,A,C,A,B,D,E,C,D,A,B,B,C,C,C,D,B,D,C,D,A,D,B,D,B,A,B,A,#,B,B,A,D,C,C,C,B,D,C
24_17231815611771.png,B,E,B,E,C,D,C,C,B,D,E,B,B,B,C,E,B,A,B,C,B,B,C,B,E,C,D,B,B,A,A,A,D,B,C,C,A,C,D,A,B,A,D,B,B,D,B,D,A,B,B,A,B,A,C,C
24_17231817941101.png,A,C,A,A,D,D,A,B,C,D,E,A,B,E,D,B,E,C,A,C,B,E,B,E,A,B,B,B,B,C,A,D,E,C,D,C,A,D,D,B,E,B,A,D,B,D,A,C,A,C,C,C,A,B,E,C
24_17231815681771.png,B,C,A,E,C,D,B,D,C,C,B,B,B,B,C,B,B,A,A,C,C,C,E,B,D,C,D,B,B,A,A,A,E,B,C,C,C,C,B,A,B,A,D,B,C,B,B,B,E,B,D,C,C,C,D,D
24_17231802371771.png,E,A,B,E,C,E,B,D,A,D,C,B,B,B,C,C,A,E,B,C,B,A,C,B,D,A,D,B,B,A,B,B,B,B,C,D,C,D,B,C,A,A,D,B,C,D,C,A,C,A,D,B,C,A,C,B
24_17231893961771.png,E,B,D,E,C,D,B,D,A,C,C,B,*,D,C,E,A,E,B,E,B,A,B,B,D,C,D,B,B,A,A,A,D,B,C,C,B,C,C,C,B,A,D,B,C,D,D,C,A,B,D,C,D,D,C,B
24_17231868501101.png,A,E,C,A,D,A,E,B,B,D,A,A,B,E,E,B,D,C,C,B,B,B,E,E,D,B,D,B,B,C,C,D,E,D,D,C,C,D,C,A,D,A,A,B,C,D,B,C,A,D,C,C,A,D,C,C
24_17232178731101.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
24_17231864451771.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
24_1723182794511.png,E,E,C,A,D,A,D,A,B,C,D,B,C,A,C,D,E,D,C,D,E,D,D,C,A,E,C,C,B,D,D,B,E,A,D,D,D,A,D,C,C,C,D,C,B,A,D,B,B,C,B,C,A,D,B,A
24_17231886421771.png,E,B,E,E,A,D,B,D,A,C,C,B,B,B,C,E,B,A,B,D,B,A,C,B,D,B,D,B,B,A,B,D,D,B,C,C,B,C,E,C,B,A,D,B,C,D,B,C,A,E,D,C,A,B,C,A
24_17232178531771.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
24_17231909821101.png,A,D,C,A,E,A,B,B,B,D,D,D,A,A,E,A,D,D,D,D,B,A,B,B,B,A,A,A,D,D,*,C,D,B,B,C,D,C,B,D,B,A,C,A,A,B,B,C,C,C,B,D,A,C,B,B
24_17231802261771.png,E,B,E,E,C,E,B,D,A,C,E,B,B,D,C,E,B,B,B,D,B,B,C,B,B,A,D,A,B,A,A,B,D,B,C,C,D,A,B,C,E,A,D,B,C,D,D,D,C,B,D,D,A,C,D,B
24_17231868621101.png,A,C,C,A,E,A,B,B,C,D,E,D,B,C,E,B,D,C,B,D,B,B,D,E,D,B,D,B,B,C,D,B,E,B,D,C,A,D,B,B,D,D,B,C,D,B,C,A,A,A,*,B,C,A,D,C
24_17231815641771.png,B,B,E,E,C,D,B,C,A,C,E,B,B,A,C,C,B,A,B,C,B,C,A,B,D,A,D,B,B,A,B,C,D,B,C,A,C,C,A,B,B,A,D,B,C,D,B,C,D,A,D,C,D,B,D,B
24_17231893981771.png,B,E,A,E,A,E,C,D,C,C,E,B,B,A,C,E,B,E,B,C,B,A,C,B,D,B,D,B,B,A,B,D,D,B,C,C,B,C,B,C,B,A,D,B,C,D,D,C,D,A,D,C,D,D,B,B
24_17231894751101.png,A,E,A,A,C,D,B,B,C,D,A,D,B,A,E,A,D,A,C,D,B,B,E,E,C,C,C,B,B,C,C,D,E,B,B,C,B,A,C,A,D,B,A,C,D,D,D,D,B,B,C,C,C,A,D,C
24_17231815751771.png,E,B,B,E,C,E,B,D,C,C,C,B,B,D,C,E,B,A,B,D,B,C,C,B,D,C,D,B,B,A,B,D,D,B,C,C,B,C,C,C,B,A,D,B,C,D,D,C,D,A,D,C,D,D,C,B
24_17231828961771.png,E,B,B,B,C,E,B,D,A,C,C,B,B,D,C,C,B,E,B,C,B,A,D,B,D,C,D,B,B,A,B,A,D,B,C,C,B,C,E,C,B,A,D,B,D,D,D,C,E,A,D,D,B,D,C,B
24_17231887501101.png,A,C,C,A,E,D,B,B,C,E,A,A,B,B,E,E,D,A,B,C,B,B,D,E,D,D,D,B,B,C,A,C,D,A,D,C,B,A,B,B,D,A,A,B,D,E,B,B,A,A,C,A,A,B,D,C
24_17231815771771.png,E,B,B,E,C,D,B,D,A,C,C,B,B,D,C,A,B,A,B,D,B,B,D,C,D,C,D,B,B,A,A,D,D,B,C,C,B,C,C,C,B,A,D,B,C,D,A,C,A,A,D,C,D,D,B,A
24_17231874681771.png,E,B,A,E,A,E,B,C,C,C,E,B,B,B,E,C,B,E,B,C,B,A,D,B,D,C,E,B,B,A,B,D,D,B,C,C,B,D,A,C,A,A,D,#,C,D,D,C,C,#,D,C,C,D,C,B
