,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
40_1723218089591.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
40_17231826121431.png,A,D,C,D,B,A,D,A,E,D,C,B,E,C,B,D,B,E,C,B,D,D,C,D,C,D,A,D,E,C,D,C,C,B,C,D,E,D,C,A,C,A,D,D,B,C,C,A,E,C,A,B,B,C,A,C,C,D,A,C,B,A,B,C,C,A,D,A,C,D,C,C
40_17231802831431.png,B,C,C,C,C,A,E,A,C,D,D,B,E,C,B,B,D,C,B,B,D,D,C,D,A,D,A,A,A,D,D,D,A,E,C,E,C,D,B,A,B,A,D,D,B,C,C,C,D,C,A,B,B,D,C,A,B,D,A,C,B,A,D,B,B,A,D,B,C,D,D,A
40_17231865651441.png,C,A,D,A,D,B,C,E,C,C,C,A,E,E,D,E,B,A,C,A,C,D,B,D,C,B,C,A,B,E,A,E,B,E,D,B,C,E,D,D,B,D,C,C,B,C,D,B,E,A,D,A,A,B,A,D,E,D,D,C,A,B,C,A,B,C,B,C,A,C,A,E
40_17231870291391.png,C,A,C,D,D,D,B,A,C,E,B,A,D,A,D,C,B,E,A,C,D,B,D,C,A,B,C,A,E,E,D,D,A,D,E,B,D,A,C,B,D,A,D,B,C,A,D,B,B,D,C,C,C,C,D,C,D,D,C,B,B,B,D,B,A,D,A,C,A,A,B,C
40_1723184685591.png,B,A,C,E,A,D,A,E,E,B,B,C,*,D,B,D,E,A,B,C,A,B,E,B,A,D,*,D,E,C,D,E,D,C,B,C,E,D,C,B,D,A,C,B,B,D,A,C,A,A,D,D,C,B,A,B,C,B,D,C,A,D,C,B,B,D,B,C,A,D,B,A
40_17231870511391.png,C,D,D,D,A,E,B,E,C,A,D,C,E,C,C,D,E,C,C,A,C,E,B,D,E,B,C,D,E,D,A,D,C,E,C,B,D,D,E,C,D,A,D,A,C,B,B,A,A,D,C,C,C,B,A,B,B,E,C,C,B,B,A,B,B,C,A,B,A,A,C,D
40_17231870811391.png,C,B,C,E,A,D,#,A,B,#,B,A,A,B,E,B,E,E,D,D,D,D,C,B,A,C,C,D,D,B,E,D,C,C,C,A,A,B,E,D,D,A,D,#,C,D,B,D,B,D,C,C,C,B,A,C,E,B,C,C,B,B,D,C,B,B,A,C,A,A,B,D
40_17231910187631.png,E,D,A,B,E,E,C,C,D,D,C,D,C,D,A,E,D,B,A,D,C,D,A,A,C,A,D,E,D,C,B,D,D,A,E,E,C,D,B,D,A,D,A,C,B,A,B,C,D,A,A,B,A,A,B,B,B,C,D,B,B,A,B,D,B,D,A,D,B,B,D,A
40_17231876081311.png,C,C,E,A,A,B,D,A,C,E,A,E,A,A,E,A,E,E,E,C,A,A,C,A,C,C,E,D,D,B,D,E,D,A,C,B,E,E,B,A,B,B,C,C,C,C,B,A,C,C,B,C,C,A,A,C,A,D,C,B,A,C,A,E,E,A,D,B,B,D,B,C
40_17231812911111.png,A,D,C,C,B,C,D,A,D,A,D,C,A,E,D,B,C,B,D,C,D,C,C,D,A,E,C,E,D,D,B,B,A,B,E,C,A,D,C,A,A,D,D,C,C,C,D,B,C,D,A,B,A,A,C,D,B,C,A,C,A,A,A,A,A,A,A,A,A,A,C,A
40_17231829711441.png,B,D,E,D,B,D,B,D,C,B,E,A,E,E,D,D,A,D,D,A,E,E,D,C,A,E,C,A,B,E,D,D,B,E,A,B,C,C,B,C,B,C,C,C,B,B,D,C,B,A,D,C,B,C,D,C,D,A,D,C,B,D,B,B,C,A,B,C,D,D,C,D
40_17232184121431.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
40_17232178241111.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
40_17231812951111.png,A,D,C,C,B,C,D,B,D,A,D,A,D,A,D,B,B,C,C,B,B,A,D,B,D,E,A,E,A,D,D,B,A,C,B,C,E,D,E,A,A,A,C,A,A,B,C,C,C,D,A,C,B,A,C,A,B,C,A,C,A,B,C,C,C,E,B,A,A,A,A,A
40_1723179931561.png,C,E,A,D,D,C,D,E,E,C,C,C,C,B,C,B,E,B,A,A,A,D,B,A,D,D,B,D,D,D,A,A,*,C,C,A,B,D,A,E,B,B,C,C,A,C,A,C,D,D,B,C,A,D,B,E,A,D,C,C,C,B,A,C,B,D,A,C,B,A,B,B
40_17231821441311.png,D,C,E,A,A,B,C,E,D,E,B,E,A,B,C,A,A,E,E,E,D,D,E,A,C,C,E,C,A,C,D,E,A,C,B,A,C,E,C,A,B,B,C,C,B,C,B,C,B,B,B,C,A,D,D,C,B,D,C,C,C,B,C,C,A,D,A,C,B,A,A,C
40_1723189209521.png,E,C,B,C,B,D,C,D,A,E,B,A,D,E,B,D,B,A,E,B,E,C,D,B,B,C,C,B,C,C,D,D,D,D,E,D,C,C,A,B,A,B,C,D,A,B,C,D,A,B,C,D,E,A,B,C,D,A,B,C,D,A,B,C,D,E,B,B,C,D,E,A
40_1723218088591.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
40_1723180185521.png,B,A,A,B,C,E,A,C,E,A,B,D,D,E,C,B,B,E,E,C,B,C,D,A,C,E,E,B,E,C,A,A,D,D,C,A,E,C,C,A,D,C,D,B,B,A,B,B,D,B,C,C,B,B,B,C,A,A,D,B,C,B,A,C,C,B,D,A,A,D,C,B
